-------------------------------------------------------
NAV_START | 38 | Sun Dec 01 15:57:44 EST 2019
CUR_LOC | 40.37614522 | -80.01343879 | 0.0m/s | 460.1003m | 38 | Sun Dec 01 15:57:44 EST 2019
CUR_LOC | 40.37614523 | -80.01343879 | 0.0m/s | 460.1012m | 38 | Sun Dec 01 15:57:45 EST 2019
CUR_LOC | 40.37614523 | -80.01343879 | 0.0m/s | 460.1012m | 38 | Sun Dec 01 15:57:46 EST 2019
CUR_LOC | 40.37614524 | -80.01343879 | 0.0m/s | 460.10205m | 38 | Sun Dec 01 15:57:47 EST 2019
CUR_LOC | 40.37614525 | -80.01343879 | 0.0m/s | 460.10294m | 38 | Sun Dec 01 15:57:48 EST 2019
CUR_LOC | 40.37614526 | -80.01343879 | 0.0m/s | 460.10382m | 38 | Sun Dec 01 15:57:49 EST 2019
CUR_LOC | 40.37614525 | -80.01343878 | 0.0m/s | 460.10242m | 38 | Sun Dec 01 15:57:50 EST 2019
CUR_LOC | 40.37614525 | -80.01343878 | 0.0m/s | 460.10242m | 38 | Sun Dec 01 15:57:51 EST 2019
CUR_LOC | 40.37614523 | -80.01343876 | 0.0m/s | 460.09964m | 38 | Sun Dec 01 15:57:52 EST 2019
CUR_LOC | 40.37614526 | -80.01343879 | 0.0m/s | 460.10382m | 38 | Sun Dec 01 15:57:53 EST 2019
CUR_LOC | 40.3761453 | -80.0134388 | 0.0m/s | 460.10785m | 38 | Sun Dec 01 15:57:54 EST 2019
CUR_LOC | 40.37614533 | -80.0134388 | 0.0m/s | 460.11047m | 38 | Sun Dec 01 15:57:55 EST 2019
CUR_LOC | 40.37614535 | -80.0134388 | 0.0m/s | 460.11224m | 38 | Sun Dec 01 15:57:56 EST 2019
CUR_LOC | 40.37614536 | -80.0134388 | 0.0m/s | 460.11313m | 38 | Sun Dec 01 15:57:57 EST 2019
CUR_LOC | 40.37614537 | -80.01343879 | 0.0m/s | 460.11346m | 38 | Sun Dec 01 15:57:58 EST 2019
CUR_LOC | 40.37614538 | -80.01343879 | 0.0m/s | 460.11435m | 38 | Sun Dec 01 15:57:59 EST 2019
CUR_LOC | 40.37614539 | -80.01343879 | 0.0m/s | 460.11523m | 38 | Sun Dec 01 15:58:00 EST 2019
CUR_LOC | 40.3761454 | -80.0134388 | 0.0m/s | 460.11664m | 38 | Sun Dec 01 15:58:01 EST 2019
CUR_LOC | 40.37614541 | -80.0134388 | 0.0m/s | 460.11752m | 38 | Sun Dec 01 15:58:02 EST 2019
CUR_LOC | 40.37614543 | -80.0134388 | 0.0m/s | 460.11926m | 38 | Sun Dec 01 15:58:03 EST 2019
CUR_LOC | 40.37614544 | -80.0134388 | 0.0m/s | 460.12015m | 38 | Sun Dec 01 15:58:04 EST 2019
CUR_LOC | 40.37614544 | -80.0134388 | 0.0m/s | 460.12015m | 38 | Sun Dec 01 15:58:05 EST 2019
CUR_LOC | 40.37614544 | -80.0134388 | 0.0m/s | 460.12015m | 38 | Sun Dec 01 15:58:06 EST 2019
CUR_LOC | 40.37614542 | -80.01343879 | 0.0m/s | 460.11786m | 38 | Sun Dec 01 15:58:07 EST 2019
CUR_LOC | 40.37614543 | -80.01343877 | 0.0m/s | 460.1177m | 38 | Sun Dec 01 15:58:08 EST 2019
CUR_LOC | 40.37614544 | -80.01343875 | 0.0m/s | 460.11755m | 38 | Sun Dec 01 15:58:09 EST 2019
CUR_LOC | 40.37614543 | -80.01343874 | 0.0m/s | 460.11615m | 38 | Sun Dec 01 15:58:10 EST 2019
CUR_LOC | 40.37614544 | -80.0134387 | 0.0m/s | 460.11496m | 38 | Sun Dec 01 15:58:11 EST 2019
CUR_LOC | 40.37614546 | -80.01343868 | 0.0m/s | 460.11566m | 38 | Sun Dec 01 15:58:12 EST 2019
CUR_LOC | 40.37614547 | -80.01343866 | 0.0m/s | 460.1155m | 38 | Sun Dec 01 15:58:13 EST 2019
CUR_LOC | 40.37614546 | -80.01343865 | 0.0m/s | 460.1141m | 38 | Sun Dec 01 15:58:14 EST 2019
CUR_LOC | 40.37614535 | -80.01343861 | 0.0m/s | 460.10236m | 38 | Sun Dec 01 15:58:15 EST 2019
CUR_LOC | 40.37614527 | -80.01343859 | 0.0m/s | 460.0943m | 38 | Sun Dec 01 15:58:16 EST 2019
CUR_LOC | 40.37614518 | -80.01343856 | 0.0m/s | 460.08484m | 38 | Sun Dec 01 15:58:17 EST 2019
CUR_LOC | 40.37614512 | -80.01343853 | 0.0m/s | 460.078m | 38 | Sun Dec 01 15:58:18 EST 2019
CUR_LOC | 40.376145 | -80.0134385 | 0.0m/s | 460.06592m | 38 | Sun Dec 01 15:58:19 EST 2019
CUR_LOC | 40.37613148 | -80.01341593 | 2.5m/s | 457.7058m | 38 | Sun Dec 01 15:58:20 EST 2019
CUR_LOC | 40.37601101 | -80.01329221 | 6.25m/s | 440.69635m | 38 | Sun Dec 01 15:58:21 EST 2019
CUR_LOC | 40.37580775 | -80.01329911 | 6.0m/s | 423.42584m | 38 | Sun Dec 01 15:58:22 EST 2019
CUR_LOC | 40.3756557 | -80.01327716 | 6.5m/s | 409.3323m | 38 | Sun Dec 01 15:58:23 EST 2019
CUR_LOC | 40.3755761 | -80.01316286 | 9.25m/s | 396.29916m | 38 | Sun Dec 01 15:58:24 EST 2019
CUR_LOC | 40.37548508 | -80.01303922 | 10.75m/s | 381.7929m | 38 | Sun Dec 01 15:58:25 EST 2019
CUR_LOC | 40.37541007 | -80.01297574 | 10.75m/s | 371.9595m | 38 | Sun Dec 01 15:58:26 EST 2019
CUR_LOC | 40.37533961 | -80.01290205 | 10.5m/s | 361.9469m | 38 | Sun Dec 01 15:58:27 EST 2019
CUR_LOC | 40.37522308 | -80.01282125 | 10.25m/s | 347.67825m | 38 | Sun Dec 01 15:58:28 EST 2019
CUR_LOC | 40.37513939 | -80.01267068 | 10.5m/s | 332.27847m | 38 | Sun Dec 01 15:58:29 EST 2019
CUR_LOC | 40.37506148 | -80.01259792 | 10.5m/s | 321.6908m | 38 | Sun Dec 01 15:58:30 EST 2019
CUR_LOC | 40.3749741 | -80.01251844 | 10.75m/s | 309.93817m | 38 | Sun Dec 01 15:58:31 EST 2019
CUR_LOC | 40.3748468 | -80.01245334 | 11.5m/s | 295.69104m | 38 | Sun Dec 01 15:58:32 EST 2019
CUR_LOC | 40.37479592 | -80.01231309 | 11.0m/s | 283.56458m | 38 | Sun Dec 01 15:58:33 EST 2019
CUR_LOC | 40.37469574 | -80.01226347 | 10.5m/s | 272.43652m | 38 | Sun Dec 01 15:58:34 EST 2019
CUR_LOC | 40.37461369 | -80.01220153 | 10.5m/s | 262.1503m | 38 | Sun Dec 01 15:58:35 EST 2019
CUR_LOC | 40.37458113 | -80.0121114 | 10.0m/s | 254.3421m | 38 | Sun Dec 01 15:58:36 EST 2019
CUR_LOC | 40.37452467 | -80.01202147 | 10.0m/s | 244.58736m | 38 | Sun Dec 01 15:58:37 EST 2019
CUR_LOC | 40.37433472 | -80.01189916 | 13.0m/s | 221.96603m | 38 | Sun Dec 01 15:58:38 EST 2019
CUR_LOC | 40.37426549 | -80.01181236 | 12.75m/s | 211.31696m | 38 | Sun Dec 01 15:58:39 EST 2019
CUR_LOC | 40.37424952 | -80.01176743 | 10.25m/s | 207.42958m | 38 | Sun Dec 01 15:58:40 EST 2019
CUR_LOC | 40.37418285 | -80.01168878 | 9.75m/s | 197.45868m | 38 | Sun Dec 01 15:58:41 EST 2019
CUR_LOC | 40.37416878 | -80.01167097 | 8.0m/s | 195.2851m | 38 | Sun Dec 01 15:58:42 EST 2019
CUR_LOC | 40.37418381 | -80.01169686 | 6.25m/s | 198.00034m | 38 | Sun Dec 01 15:58:43 EST 2019
CUR_LOC | 40.37411865 | -80.01172922 | 5.75m/s | 194.64442m | 38 | Sun Dec 01 15:58:44 EST 2019
CUR_LOC | 40.37408965 | -80.01170043 | 5.5m/s | 190.63481m | 38 | Sun Dec 01 15:58:45 EST 2019
CUR_LOC | 40.37412912 | -80.01167706 | 5.5m/s | 192.40785m | 38 | Sun Dec 01 15:58:46 EST 2019
CUR_LOC | 40.37409736 | -80.01157771 | 6.25m/s | 184.08926m | 38 | Sun Dec 01 15:58:47 EST 2019
CUR_LOC | 40.37402568 | -80.01143752 | 7.75m/s | 170.23166m | 38 | Sun Dec 01 15:58:48 EST 2019
CUR_LOC | 40.37397363 | -80.01134949 | 8.5m/s | 160.9749m | 38 | Sun Dec 01 15:58:49 EST 2019
CUR_LOC | 40.37391935 | -80.01126768 | 8.5m/s | 151.88914m | 38 | Sun Dec 01 15:58:50 EST 2019
CUR_LOC | 40.37386276 | -80.01119532 | 8.75m/s | 143.12895m | 38 | Sun Dec 01 15:58:51 EST 2019
CUR_LOC | 40.37381023 | -80.0111215 | 8.75m/s | 134.6438m | 38 | Sun Dec 01 15:58:52 EST 2019
